"rec","dens_0","conn_0","conn_agri","conn_wtr","g0_1"
94,-0.767095972741981,0.878023655833112,0.844035328662137,-3.31090280304307,-2.75846892921106
95,-0.778444353461248,0.884538293546352,0.839409630418696,-3.32967303148428,-2.74542761027784
96,-0.789709842143425,0.890732402190601,0.834807121311371,-3.34837046401555,-2.73244656114579
97,-0.800895423722591,0.896470646840905,0.831112752910417,-3.36701481572846,-2.71952088939071
98,-0.812001654650921,0.901674918349894,0.828875120055759,-3.38562127259189,-2.70664775003134
99,-0.823026014417785,0.906335042194808,0.828225329888206,-3.40419294568318,-2.6938269657729
100,-0.833963031373814,0.910511832199169,0.828907513732142,-3.4227221555574,-2.68106097844602
101,-0.84480506519665,0.914318708233789,0.830381736386538,-3.44119689857784,-2.66835423167625
102,-0.855543523139198,0.917894745493491,0.831964276414898,-3.4595983147766,-2.6557121849793
103,-0.86617024604599,0.921375340262253,0.832994365913071,-3.47790998668258,-2.64314019763485
104,-0.87667876282043,0.9248664740997,0.832973540297702,-3.49611765347715,-2.63064254174051
105,-0.887065154408088,0.928424008900318,0.831674750147228,-3.51421525042962,-2.61822174377822
106,-0.897328326216543,0.932048880224057,0.829167090372609,-3.53220191029107,-2.6058783931837
107,-0.907469670722852,0.93569466948783,0.825767698444475,-3.5500894047368,-2.59361141684931
108,-0.917492261495366,0.939285063163219,0.821932795380902,-3.56789024461201,-2.58141870861016
109,-0.927399837115708,0.942736932166144,0.818132462635958,-3.58561631820393,-2.56929791801433
110,-0.937195846335826,0.94598051801142,0.814749789777089,-3.60328112805457,-2.55724719153142
111,-0.946882747041974,0.948972875979875,0.812008344825507,-3.62089116971942,-2.54526571309637
112,-0.956461667242267,0.951702850830307,0.80995324691564,-3.6384511892338,-2.53335394932498
113,-0.965932427740171,0.95419312843795,0.808479280245972,-3.65595935621708,-2.52151359698703
114,-0.975293857659578,0.956487954273737,0.807364538998425,-3.67341017363709,-2.50974730029149
115,-0.984544300989462,0.958643694452724,0.806331069912683,-3.69079572934156,-2.49805821368196
116,-0.993682190999587,0.960718667306441,0.805101963418688,-3.70810684527394,-2.48644951666035
117,-1.00270658043504,0.962759830576736,0.80344989125915,-3.72533890526684,-2.47492397308518
118,-1.01161752499738,0.964795164943502,0.801228443415927,-3.74248965966535,-2.46348360900377
119,-1.02041626347531,0.966829750532852,0.798376708066119,-3.75956012731806,-2.45212954877528
120,-1.02910519150568,0.968844313709995,0.794921980085047,-3.7765536954531,-2.44086200459926
121,-1.03768763857503,0.970802432151809,0.790940587219477,-3.79347333451041,-2.42968041037115
122,-1.04616754322789,0.972652574278771,0.786527291579129,-3.81032999380445,-2.41858362480739
123,-1.05454908850935,0.974336288109648,0.781761262086654,-3.82713449751935,-2.40757015069429
124,-1.06283637543903,0.975792339334464,0.7766922161207,-3.84389547934622,-2.39663831343011
125,-1.07103316465846,0.976957882140543,0.771320335743323,-3.86062514715859,-2.38578637956423
